	,	true	,	9
110. Las Vegas	,	true	,	11
Ahwatukee	,	true	,	118
Ahwatukee Foothills Village	,	true	,	19
Allegheny	,	true	,	20
Anjou	,	true	,	29
Anthem	,	true	,	541
Apache Junction	,	true	,	673
Aspinwall	,	true	,	15
Avondale	,	true	,	4448
Beaconsfield	,	true	,	4
Bellevue	,	true	,	4
Belmont	,	true	,	388
Bethel Park	,	true	,	135
Boisbriand	,	true	,	11
Bonnyrigg	,	true	,	10
Boulder City	,	true	,	597
Brentwood	,	true	,	18
Breslau	,	true	,	31
Bridgeville	,	true	,	16
Brossard	,	true	,	92
Buckeye	,	true	,	1023
Burbank	,	true	,	127
Cambridge	,	true	,	52
Carefree	,	true	,	216
Carnegie	,	true	,	35
Casa Grande	,	true	,	509
Castle Shannon	,	true	,	13
Cave Creek	,	true	,	695
Central City	,	true	,	8
Champaign	,	true	,	1356
Chandler	,	true	,	28900
Charlotte	,	true	,	91454
Charlotte 	,	true	,	16
Chateau	,	true	,	5
City of Edinburgh	,	true	,	29
Clark	,	true	,	1006
Communauté-Urbaine-de-Montréal	,	true	,	23
Concord	,	true	,	2596
Coolidge	,	true	,	101
Cottage Grove	,	true	,	5
Crafton	,	true	,	6
Cramond	,	true	,	4
Dalkeith	,	true	,	9
De Forest	,	true	,	20
DeForest	,	true	,	8
Deforest	,	true	,	20
Deux-Montagnes	,	true	,	4
Dollard-Des Ormeaux	,	true	,	5
Dollard-Des-Ormeaux	,	true	,	64
Dollard-des-Ormeaux	,	true	,	23
Dormont	,	true	,	39
Dorval	,	true	,	3670
Downtown	,	true	,	45
Edgewood	,	true	,	25
Edinburgh	,	true	,	12662
El Mirage	,	true	,	178
Enterprise	,	true	,	7
Etna	,	true	,	20
Ettlingen	,	true	,	3
Fabreville	,	true	,	5
Firth of Forth	,	true	,	4
Fitchburg	,	true	,	1329
Florence	,	true	,	88
Fort McDowell	,	true	,	48
Fort Mcdowell	,	true	,	90
Fort Mill	,	true	,	1123
Fountain Hills	,	true	,	1900
Gila Bend	,	true	,	184
Gilbert	,	true	,	19715
Glendale	,	true	,	23820
Gold Canyon	,	true	,	253
Goldfield	,	true	,	265
Goodyear	,	true	,	3338
Grand Canyon	,	true	,	8
Greenfield Park	,	true	,	22
Guadalupe	,	true	,	10
Harrisburg	,	true	,	146
Henderson	,	true	,	63391
Henderson NV	,	true	,	113
Higley	,	true	,	117
Homestead	,	true	,	433
Huntersville	,	true	,	396
Independence	,	true	,	15
Indian Land	,	true	,	116
Indian Trail	,	true	,	52
Inverkeithing	,	true	,	8
Juniper Green	,	true	,	8
Karlsruhe	,	true	,	353
Kirkland	,	true	,	71
Kitchener	,	true	,	353
L'Île-des-Soeurs	,	true	,	27
LaSalle	,	true	,	5
Lachine	,	true	,	65
Lake Las Vegas	,	true	,	6
Las Vegas	,	true	,	641472
Las Vegas 	,	true	,	89
Lasalle	,	true	,	110
Lasswade	,	true	,	6
Laval	,	true	,	553
Laveen	,	true	,	951
Laveen Village	,	true	,	5
Le Sud-Ouest	,	true	,	73
Le Vieux-Port	,	true	,	16
Leith	,	true	,	21
Litchfield Park	,	true	,	1304
Loanhead	,	true	,	3
Longueuil	,	true	,	107
MMRP	,	true	,	127
Madison	,	true	,	12696
Maricopa	,	true	,	747
Maricopa AZ	,	true	,	10
Matthews	,	true	,	1780
Mc Farland	,	true	,	33
Mc Kees Rocks	,	true	,	68
McFarland	,	true	,	12
McKees Rocks	,	true	,	68
